Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Fully Paid,445412.0,Short Term,709.0,1167493.0,8 years,Home Mortgage,Home Improvements,5214.74,17.2,6.0,1.0,228190.0,416746.0,1.0,0.0
Fully Paid,99999999.0,Short Term,741.0,2231892.0,8 years,Own Home,Debt Consolidation,29200.53,14.9,18.0,1.0,297996.0,750090.0,0.0,0.0
Fully Paid,347666.0,Long Term,721.0,806949.0,3 years,Own Home,Debt Consolidation,8741.9,12.0,9.0,0.0,256329.0,386958.0,0.0,0.0
Charged Off,206602.0,Short Term,7290.0,896857.0,10+ years,Home Mortgage,Debt Consolidation,16367.74,17.3,6.0,0.0,215308.0,272448.0,0.0,0.0
Fully Paid,217646.0,Short Term,730.0,1184194.0,< 1 year,Home Mortgage,Debt Consolidation,10855.08,19.6,13.0,1.0,122170.0,272052.0,1.0,0.0
Fully Paid,548746.0,Short Term,678.0,2559110.0,2 years,Rent,Debt Consolidation,18660.28,22.6,4.0,0.0,437171.0,555038.0,0.0,0.0
Fully Paid,215952.0,Short Term,739.0,1454735.0,< 1 year,Rent,Debt Consolidation,39277.75,13.9,20.0,0.0,669560.0,1021460.0,0.0,0.0
Fully Paid,99999999.0,Short Term,728.0,714628.0,3 years,Rent,Debt Consolidation,11851.06,16.0,16.0,0.0,203965.0,289784.0,0.0,0.0
Fully Paid,99999999.0,Short Term,740.0,776188.0,< 1 year,Own Home,Debt Consolidation,11578.22,8.5,6.0,0.0,134083.0,220220.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,1560907.0,4 years,Rent,Debt Consolidation,17560.37,13.3,10.0,1.0,225549.0,496474.0,1.0,0.0
Fully Paid,234124.0,Short Term,727.0,693234.0,10+ years,Rent,Debt Consolidation,14211.24,24.7,10.0,1.0,28291.0,107052.0,1.0,0.0
Fully Paid,666204.0,Long Term,723.0,1821967.0,10+ years,Home Mortgage,Debt Consolidation,17612.24,22.0,15.0,0.0,813694.0,2004618.0,0.0,0.0
Fully Paid,390390.0,Short Term,747.0,1791738.0,8 years,Home Mortgage,Home Improvements,2478.55,22.7,6.0,0.0,121182.0,801812.0,0.0,0.0
Charged Off,317108.0,Long Term,687.0,1133274.0,8 years,Rent,Debt Consolidation,9632.81,17.4,4.0,0.0,60287.0,126940.0,0.0,0.0
Fully Paid,128238.0,Short Term,750.0,1354073.0,< 1 year,Rent,Debt Consolidation,13202.15,11.9,7.0,0.0,131936.0,458788.0,0.0,0.0
Charged Off,153252.0,Short Term,714.0,1890690.0,2 years,Rent,Debt Consolidation,21900.35,15.7,12.0,0.0,891594.0,1081014.0,0.0,0.0
Fully Paid,91894.0,Short Term,724.0,850383.0,10+ years,Home Mortgage,Debt Consolidation,5860.74,17.5,7.0,0.0,95608.0,230626.0,0.0,0.0
Fully Paid,244926.0,Long Term,704.0,1249953.0,4 years,Home Mortgage,Debt Consolidation,6812.26,14.4,6.0,1.0,143051.0,245014.0,0.0,1.0
Fully Paid,465410.0,Long Term,688.0,1722654.0,3 years,Rent,Buy House,15647.45,22.3,7.0,0.0,107559.0,488356.0,0.0,0.0
Fully Paid,99999999.0,Short Term,724.0,1029857.0,1 year,Rent,Debt Consolidation,13817.18,12.0,6.0,0.0,138339.0,221232.0,0.0,0.0
Fully Paid,443960.0,Short Term,749.0,1432391.0,2 years,Home Mortgage,Debt Consolidation,25186.21,14.0,15.0,0.0,342475.0,905344.0,0.0,0.0
Fully Paid,99999999.0,Short Term,746.0,1749748.0,10+ years,Home Mortgage,Debt Consolidation,19247.19,20.0,17.0,0.0,224390.0,295240.0,0.0,0.0
Fully Paid,99999999.0,Short Term,737.0,1501912.0,6 years,Rent,Business Loan,31039.54,18.0,8.0,0.0,229349.0,469172.0,0.0,0.0
Fully Paid,334620.0,Short Term,729.0,1348620.0,2 years,Rent,Debt Consolidation,16913.99,20.0,16.0,0.0,313177.0,539616.0,0.0,0.0
Charged Off,130174.0,Short Term,733.0,524609.0,< 1 year,Rent,Debt Consolidation,9311.71,15.4,7.0,1.0,130701.0,268818.0,1.0,0.0
Fully Paid,333564.0,Long Term,725.0,1248338.0,10+ years,Home Mortgage,Debt Consolidation,18205.04,14.6,18.0,0.0,300979.0,515526.0,0.0,0.0
Fully Paid,125796.0,Short Term,745.0,1261068.0,5 years,Home Mortgage,Debt Consolidation,20597.33,24.5,13.0,0.0,684817.0,997414.0,0.0,0.0
Fully Paid,99999999.0,Short Term,743.0,752039.0,4 years,Home Mortgage,Debt Consolidation,17046.23,14.1,10.0,0.0,213484.0,478126.0,0.0,0.0
Fully Paid,161172.0,Short Term,720.0,796499.0,8 years,Home Mortgage,Debt Consolidation,3404.99,22.6,6.0,1.0,114095.0,170038.0,0.0,0.0
Fully Paid,449108.0,Short Term,718.0,1454507.0,8 years,Home Mortgage,Debt Consolidation,13090.43,28.8,14.0,0.0,193990.0,458414.0,0.0,0.0
Charged Off,688468.0,Long Term,682.0,1494616.0,< 1 year,Rent,Debt Consolidation,14697.07,16.6,8.0,0.0,343995.0,843854.0,0.0,0.0
Charged Off,288948.0,Short Term,7120.0,537472.0,10+ years,Rent,Debt Consolidation,5777.9,14.8,4.0,0.0,132468.0,164406.0,0.0,0.0
Fully Paid,311762.0,Long Term,680.0,2211657.0,4 years,Home Mortgage,Debt Consolidation,44601.74,14.5,11.0,0.0,213921.0,509652.0,0.0,0.0
Fully Paid,266112.0,Short Term,750.0,919296.0,1 year,Rent,Debt Consolidation,12946.79,21.6,9.0,0.0,266266.0,485518.0,0.0,0.0
Fully Paid,129712.0,Short Term,723.0,1465698.0,10+ years,Own Home,Debt Consolidation,18199.15,19.4,34.0,1.0,45106.0,163218.0,0.0,0.0
Fully Paid,287980.0,Short Term,737.0,1013954.0,< 1 year,Home Mortgage,Debt Consolidation,16138.6,18.6,11.0,0.0,223117.0,489302.0,0.0,0.0
Fully Paid,439428.0,Short Term,710.0,1518024.0,8 years,Rent,Debt Consolidation,20923.56,17.8,11.0,0.0,209304.0,265716.0,0.0,0.0
Charged Off,456808.0,Long Term,598.0,1096167.0,10+ years,Own Home,Debt Consolidation,14341.39,14.1,8.0,0.0,161861.0,278058.0,0.0,0.0
Fully Paid,518012.0,Long Term,719.0,1193010.0,10+ years,Own Home,Debt Consolidation,22667.38,20.9,11.0,0.0,452770.0,1080926.0,0.0,0.0
Charged Off,219692.0,Long Term,6610.0,527839.0,10+ years,Rent,Debt Consolidation,14207.63,17.0,9.0,0.0,254277.0,379918.0,0.0,0.0
Charged Off,374176.0,Long Term,652.0,1239199.0,10+ years,Home Mortgage,other,5163.25,36.6,10.0,0.0,126350.0,415602.0,0.0,0.0
Fully Paid,99999999.0,Long Term,730.0,2509520.0,10+ years,Home Mortgage,Debt Consolidation,34714.9,40.8,12.0,0.0,733324.0,1035496.0,0.0,0.0
Charged Off,176198.0,Short Term,736.0,1902090.0,10+ years,Home Mortgage,Debt Consolidation,28372.89,15.4,9.0,0.0,206872.0,620554.0,0.0,0.0
Charged Off,78012.0,Short Term,7380.0,728726.0,4 years,Rent,major_purchase,10135.36,11.4,8.0,0.0,104633.0,199936.0,0.0,0.0
Fully Paid,669372.0,Short Term,725.0,2158210.0,7 years,Home Mortgage,Debt Consolidation,34711.29,9.2,17.0,0.0,496052.0,638176.0,0.0,0.0
Fully Paid,130922.0,Short Term,747.0,2261304.0,2 years,Rent,Debt Consolidation,9761.25,16.1,6.0,0.0,110428.0,235488.0,0.0,0.0
Fully Paid,174548.0,Short Term,721.0,1620681.0,6 years,Rent,Take a Trip,30522.74,15.0,7.0,0.0,40489.0,128832.0,0.0,0.0
Charged Off,290224.0,Long Term,644.0,837045.0,7 years,Home Mortgage,Debt Consolidation,8230.99,18.3,11.0,0.0,176624.0,370480.0,0.0,0.0
Fully Paid,718784.0,Long Term,672.0,1648915.0,10+ years,Home Mortgage,Debt Consolidation,15664.74,12.0,10.0,0.0,252016.0,489610.0,0.0,0.0
Fully Paid,602008.0,Long Term,741.0,2896721.0,2 years,Own Home,Debt Consolidation,48278.62,19.6,17.0,0.0,5246261.0,11887678.0,0.0,0.0
Fully Paid,171248.0,Short Term,747.0,3035725.0,10+ years,Home Mortgage,Debt Consolidation,42500.15,31.5,11.0,0.0,25460.0,151140.0,0.0,0.0
Charged Off,523908.0,Long Term,7370.0,1028774.0,6 years,Home Mortgage,Debt Consolidation,22632.99,19.3,5.0,0.0,474658.0,742720.0,0.0,0.0
Fully Paid,323466.0,Long Term,699.0,2048618.0,6 years,Home Mortgage,Debt Consolidation,27997.64,14.0,19.0,1.0,389994.0,743952.0,1.0,0.0
Fully Paid,144562.0,Short Term,751.0,1060922.0,9 years,Home Mortgage,Debt Consolidation,19750.88,21.8,7.0,0.0,314773.0,1035408.0,0.0,0.0
Fully Paid,211222.0,Short Term,694.0,947625.0,4 years,Rent,Debt Consolidation,8923.35,18.0,9.0,1.0,93081.0,397694.0,1.0,0.0
Fully Paid,162360.0,Short Term,720.0,486875.0,10+ years,Rent,Debt Consolidation,8560.83,15.1,16.0,0.0,129504.0,434654.0,0.0,0.0
Fully Paid,99999999.0,Short Term,699.0,2770162.0,5 years,Home Mortgage,Debt Consolidation,48708.4,25.6,13.0,0.0,348802.0,449262.0,0.0,0.0
Fully Paid,767536.0,Long Term,724.0,6628720.0,10+ years,Home Mortgage,Debt Consolidation,53747.96,29.5,13.0,0.0,1426425.0,2510112.0,0.0,0.0
Fully Paid,389884.0,Short Term,657.0,4776125.0,1 year,Home Mortgage,Debt Consolidation,42985.22,21.5,14.0,1.0,237500.0,562386.0,1.0,0.0
Fully Paid,163966.0,Short Term,678.0,719910.0,9 years,Home Mortgage,Home Improvements,12778.26,6.4,9.0,1.0,66025.0,138248.0,0.0,1.0
Fully Paid,433312.0,Short Term,736.0,1010401.0,7 years,Home Mortgage,Debt Consolidation,22228.86,16.1,19.0,0.0,201780.0,613228.0,0.0,0.0
Fully Paid,99999999.0,Short Term,737.0,2015159.0,6 years,Home Mortgage,Debt Consolidation,21494.89,10.5,16.0,0.0,321214.0,478060.0,0.0,0.0
Fully Paid,99999999.0,Short Term,748.0,1875680.0,5 years,Rent,other,9393.98,13.0,14.0,0.0,232674.0,1353858.0,0.0,0.0
Fully Paid,89320.0,Short Term,748.0,1832075.0,< 1 year,Home Mortgage,Other,13312.92,19.0,6.0,0.0,127946.0,216260.0,0.0,0.0
Fully Paid,392282.0,Long Term,688.0,974662.0,8 years,Home Mortgage,Debt Consolidation,10396.42,12.0,11.0,0.0,35663.0,242946.0,0.0,0.0
Fully Paid,498586.0,Long Term,666.0,1351679.0,3 years,Rent,Other,32214.88,12.2,15.0,0.0,205637.0,433686.0,0.0,0.0
Fully Paid,378334.0,Short Term,714.0,2120514.0,2 years,Rent,Debt Consolidation,35695.3,17.0,12.0,0.0,75335.0,413402.0,0.0,0.0
Fully Paid,99999999.0,Short Term,734.0,1355802.0,3 years,Rent,Debt Consolidation,15365.68,44.5,8.0,0.0,25441.0,1841796.0,0.0,0.0
Charged Off,194942.0,Short Term,742.0,1212238.0,1 year,Rent,Debt Consolidation,25254.99,27.4,13.0,1.0,176396.0,339834.0,1.0,0.0
Fully Paid,731566.0,Short Term,705.0,1377443.0,10+ years,Home Mortgage,Debt Consolidation,13429.96,20.4,18.0,0.0,563008.0,1070432.0,0.0,0.0
Fully Paid,156772.0,Short Term,748.0,1411966.0,6 years,Home Mortgage,Home Improvements,22591.38,18.0,10.0,0.0,38456.0,251548.0,0.0,0.0
Charged Off,78738.0,Short Term,6240.0,536370.0,2 years,Rent,other,14034.92,10.5,14.0,0.0,138586.0,266112.0,0.0,0.0
Fully Paid,453464.0,Short Term,712.0,895147.0,3 years,Rent,Debt Consolidation,17007.85,14.2,12.0,1.0,137845.0,222926.0,1.0,0.0
Fully Paid,595672.0,Short Term,685.0,1305927.0,10+ years,Rent,Debt Consolidation,13603.43,25.9,8.0,0.0,108148.0,129624.0,0.0,0.0
Fully Paid,166672.0,Short Term,705.0,1048667.0,10+ years,Home Mortgage,Debt Consolidation,16166.91,16.0,10.0,0.0,167656.0,267014.0,0.0,0.0
Fully Paid,132792.0,Short Term,751.0,668990.0,4 years,Rent,other,6132.25,14.7,5.0,0.0,61199.0,214742.0,0.0,0.0
Charged Off,119504.0,Short Term,745.0,938315.0,2 years,Home Mortgage,Buy House,11807.17,13.0,11.0,0.0,32300.0,104170.0,0.0,0.0
Fully Paid,33022.0,Short Term,723.0,1673007.0,7 years,Rent,Debt Consolidation,25234.47,23.3,13.0,0.0,125609.0,323928.0,0.0,0.0
Fully Paid,448976.0,Short Term,742.0,4071396.0,10+ years,Home Mortgage,Debt Consolidation,10348.16,19.7,7.0,0.0,486001.0,1253340.0,0.0,0.0
Fully Paid,280588.0,Short Term,717.0,671080.0,3 years,Rent,Debt Consolidation,17447.89,10.0,10.0,1.0,168169.0,470360.0,1.0,0.0
Charged Off,556336.0,Long Term,714.0,1402960.0,10+ years,Home Mortgage,Debt Consolidation,19524.4,19.5,5.0,0.0,317338.0,389246.0,0.0,0.0
