Country,Women's Empowerment Index (WEI) - 2022,Women's Empowerment Group - 2022,Global Gender Parity Index (GGPI) - 2022,Gender Parity Group - 2022,Human Development Group - 2021,Sustainable Development Goal regions
Australia,0.805,High,0.87,High,Very high,Australia and New Zealand
Belgium,0.801,High,0.869,High,Very high,Europe and Northern America
Denmark,0.804,High,0.845,High,Very high,Europe and Northern America
Iceland,0.816,High,0.914,High,Very high,Europe and Northern America
Norway,0.802,High,0.887,High,Very high,Europe and Northern America
Sweden,0.828,High,0.925,High,Very high,Europe and Northern America
Austria,0.778,Upper-middle,0.808,High,Very high,Europe and Northern America
Bulgaria,0.701,Upper-middle,0.767,Upper-middle,High,Europe and Northern America
Canada,0.783,Upper-middle,0.806,High,Very high,Europe and Northern America
Croatia,0.73,Upper-middle,0.772,Upper-middle,Very high,Europe and Northern America
Czechia,0.707,Upper-middle,0.68,Lower-middle,Very high,Europe and Northern America
Estonia,0.75,Upper-middle,0.774,Upper-middle,Very high,Europe and Northern America
Finland,0.787,Upper-middle,0.86,High,Very high,Europe and Northern America
France,0.792,Upper-middle,0.861,High,Very high,Europe and Northern America
Germany,0.762,Upper-middle,0.78,Upper-middle,Very high,Europe and Northern America
Hungary,0.707,Upper-middle,0.718,Upper-middle,Very high,Europe and Northern America
Ireland,0.759,Upper-middle,0.781,Upper-middle,Very high,Europe and Northern America
Italy,0.7,Upper-middle,0.767,Upper-middle,Very high,Europe and Northern America
Latvia,0.782,Upper-middle,0.831,High,Very high,Europe and Northern America
Lithuania,0.756,Upper-middle,0.793,Upper-middle,Very high,Europe and Northern America
Luxembourg,0.737,Upper-middle,0.757,Upper-middle,Very high,Europe and Northern America
Netherlands,0.778,Upper-middle,0.807,High,Very high,Europe and Northern America
Poland,0.757,Upper-middle,0.798,Upper-middle,Very high,Europe and Northern America
Portugal,0.749,Upper-middle,0.843,High,Very high,Europe and Northern America
Serbia,0.72,Upper-middle,0.816,High,Very high,Europe and Northern America
Singapore,0.757,Upper-middle,0.783,Upper-middle,Very high,Eastern Asia and South-Eastern Asia
Slovenia,0.791,Upper-middle,0.821,High,Very high,Europe and Northern America
Spain,0.773,Upper-middle,0.855,High,Very high,Europe and Northern America
Switzerland,0.786,Upper-middle,0.817,High,Very high,Europe and Northern America
United Kingdom,0.778,Upper-middle,0.821,High,Very high,Europe and Northern America
United States,0.752,Upper-middle,0.787,Upper-middle,Very high,Europe and Northern America
Albania,0.61,Lower-middle,0.86,High,High,Europe and Northern America
Armenia,0.656,Lower-middle,0.77,Upper-middle,High,Northern Africa and Western Asia
Bolivia (Plurinational State of),0.632,Lower-middle,0.829,High,Medium,Latin America and the Caribbean
Brazil,0.637,Lower-middle,0.68,Lower-middle,High,Latin America and the Caribbean
Chile,0.699,Lower-middle,0.76,Upper-middle,Very high,Latin America and the Caribbean
China,0.664,Lower-middle,0.725,Upper-middle,High,Eastern Asia and South-Eastern Asia
Costa Rica,0.677,Lower-middle,0.844,High,Very high,Latin America and the Caribbean
Cyprus,0.649,Lower-middle,0.641,Lower-middle,Very high,Northern Africa and Western Asia
Dominican Republic,0.603,Lower-middle,0.771,Upper-middle,High,Latin America and the Caribbean
Ecuador,0.63,Lower-middle,0.751,Upper-middle,High,Latin America and the Caribbean
Greece,0.679,Lower-middle,0.703,Upper-middle,Very high,Europe and Northern America
Israel,0.694,Lower-middle,0.714,Upper-middle,Very high,Northern Africa and Western Asia
Jamaica,0.694,Lower-middle,0.824,High,High,Latin America and the Caribbean
Japan,0.651,Lower-middle,0.627,Lower-middle,Very high,Eastern Asia and South-Eastern Asia
Malta,0.696,Lower-middle,0.747,Upper-middle,Very high,Europe and Northern America
Mauritius,0.613,Lower-middle,0.728,Upper-middle,Very high,Sub-Saharan Africa
Moldova (Republic of),0.686,Lower-middle,0.878,High,High,Europe and Northern America
Mongolia,0.67,Lower-middle,0.784,Upper-middle,High,Eastern Asia and South-Eastern Asia
Montenegro,0.64,Lower-middle,0.719,Upper-middle,Very high,Europe and Northern America
Namibia,0.617,Lower-middle,0.856,High,Medium,Sub-Saharan Africa
North Macedonia,0.682,Lower-middle,0.776,Upper-middle,High,Europe and Northern America
Peru,0.64,Lower-middle,0.799,Upper-middle,High,Latin America and the Caribbean
Philippines,0.618,Lower-middle,0.772,Upper-middle,Medium,Eastern Asia and South-Eastern Asia
Romania,0.623,Lower-middle,0.658,Lower-middle,Very high,Europe and Northern America
Slovakia,0.696,Lower-middle,0.697,Lower-middle,Very high,Europe and Northern America
South Africa,0.68,Lower-middle,0.823,High,High,Sub-Saharan Africa
Thailand,0.635,Lower-middle,0.677,Lower-middle,Very high,Eastern Asia and South-Eastern Asia
United Arab Emirates,0.68,Lower-middle,0.783,Upper-middle,Very high,Northern Africa and Western Asia
Uruguay,0.688,Lower-middle,0.825,High,Very high,Latin America and the Caribbean
Viet Nam,0.612,Lower-middle,0.758,Upper-middle,High,Eastern Asia and South-Eastern Asia
Bangladesh,0.443,Low,0.527,Low,Medium,Central Asia and Southern Asia
Belize,0.569,Low,0.73,Upper-middle,Medium,Latin America and the Caribbean
Benin,0.418,Low,0.497,Low,Low,Sub-Saharan Africa
Bhutan,0.562,Low,0.625,Lower-middle,Medium,Central Asia and Southern Asia
Bosnia and Herzegovina,0.597,Low,0.622,Lower-middle,High,Europe and Northern America
Botswana,0.56,Low,0.675,Lower-middle,Medium,Sub-Saharan Africa
Burkina Faso,0.443,Low,0.595,Low,Low,Sub-Saharan Africa
Burundi,0.53,Low,0.765,Upper-middle,Low,Sub-Saharan Africa
Cambodia,0.542,Low,0.619,Lower-middle,Medium,Eastern Asia and South-Eastern Asia
Cameroon,0.52,Low,0.752,Upper-middle,Medium,Sub-Saharan Africa
Colombia,0.592,Low,0.693,Lower-middle,High,Latin America and the Caribbean
Congo (Democratic Republic of the),0.399,Low,0.637,Lower-middle,Low,Sub-Saharan Africa
Côte d'Ivoire,0.455,Low,0.594,Low,Medium,Sub-Saharan Africa
Egypt,0.466,Low,0.534,Low,High,Northern Africa and Western Asia
El Salvador,0.542,Low,0.66,Lower-middle,Medium,Latin America and the Caribbean
Gambia,0.427,Low,0.524,Low,Low,Sub-Saharan Africa
Ghana,0.524,Low,0.563,Low,Medium,Sub-Saharan Africa
Guatemala,0.482,Low,0.575,Low,Medium,Latin America and the Caribbean
Guinea,0.4,Low,0.546,Low,Low,Sub-Saharan Africa
Honduras,0.544,Low,0.716,Upper-middle,Medium,Latin America and the Caribbean
India,0.52,Low,0.56,Low,Medium,Central Asia and Southern Asia
Indonesia,0.568,Low,0.652,Lower-middle,High,Eastern Asia and South-Eastern Asia
Iran (Islamic Republic of),0.454,Low,0.393,Low,High,Central Asia and Southern Asia
Iraq,0.363,Low,0.486,Low,Medium,Northern Africa and Western Asia
Jordan,0.488,Low,0.562,Low,High,Northern Africa and Western Asia
Kenya,0.591,Low,0.769,Upper-middle,Medium,Sub-Saharan Africa
Lao People's Democratic Republic,0.582,Low,0.839,High,Medium,Eastern Asia and South-Eastern Asia
Lebanon,0.372,Low,0.422,Low,High,Northern Africa and Western Asia
Lesotho,0.531,Low,0.784,Upper-middle,Low,Sub-Saharan Africa
Liberia,0.435,Low,0.604,Lower-middle,Low,Sub-Saharan Africa
Malawi,0.464,Low,0.606,Lower-middle,Low,Sub-Saharan Africa
Maldives,0.518,Low,0.575,Low,High,Central Asia and Southern Asia
Mali,0.4,Low,0.579,Low,Low,Sub-Saharan Africa
Mexico,0.598,Low,0.803,High,High,Latin America and the Caribbean
Myanmar,0.518,Low,0.598,Low,Medium,Eastern Asia and South-Eastern Asia
Nepal,0.491,Low,0.618,Lower-middle,Medium,Central Asia and Southern Asia
Niger,0.307,Low,0.662,Lower-middle,Low,Sub-Saharan Africa
Nigeria,0.444,Low,0.514,Low,Low,Sub-Saharan Africa
Pakistan,0.337,Low,0.428,Low,Low,Central Asia and Southern Asia
Panama,0.563,Low,0.646,Lower-middle,Very high,Latin America and the Caribbean
Paraguay,0.593,Low,0.695,Lower-middle,High,Latin America and the Caribbean
Rwanda,0.565,Low,0.846,High,Low,Sub-Saharan Africa
Senegal,0.511,Low,0.623,Lower-middle,Low,Sub-Saharan Africa
Sierra Leone,0.438,Low,0.588,Low,Low,Sub-Saharan Africa
Sri Lanka,0.568,Low,0.516,Low,High,Central Asia and Southern Asia
Tanzania (United Republic of),0.51,Low,0.714,Upper-middle,Low,Sub-Saharan Africa
Togo,0.537,Low,0.664,Lower-middle,Low,Sub-Saharan Africa
Tunisia,0.512,Low,0.594,Low,High,Northern Africa and Western Asia
Türkiye,0.498,Low,0.511,Low,Very high,Northern Africa and Western Asia
Uganda,0.463,Low,0.672,Lower-middle,Low,Sub-Saharan Africa
Yemen,0.141,Low,0.141,Low,Low,Northern Africa and Western Asia
Zambia,0.441,Low,0.637,Lower-middle,Medium,Sub-Saharan Africa
Zimbabwe,0.519,Low,0.655,Lower-middle,Medium,Sub-Saharan Africa
